Module,Mã CN,Tên chức năng,Mô tả chi tiết,Business Rules / Validation,Man-Day Dev,Man-Day Test,Độ ưu tiên
"Vật tư & Thiết bị – 2. Nhập kho",VT-IMP-03,Lịch sử nhập kho & tra cứu,"Lọc theo ngày, loại vật tư, nhà cung cấp; xem tổng giá trị đã nhập",Export Excel,1,0.5,P2
"Vật tư & Thiết bị – 3. Xuất kho",VT-EXP-01,Lập phiếu xuất kho,"Xuất vật tư tiêu hao: chọn vật tư, số lượng, bộ phận nhận, lý do sử dụng","Số lượng xuất ≤ tồn kho; cảnh báo khi vượt định mức",1.5,0.5,P1
"Vật tư & Thiết bị – 3. Xuất kho",VT-EXP-02,Xuất theo định mức bộ phận,Mỗi bộ phận có định mức xuất vật tư/ngày; so sánh thực xuất vs định mức,"Cảnh báo khi vượt định mức >20%; báo cáo hàng tuần",1.5,0.5,P2
"Vật tư & Thiết bị – 3. Xuất kho",VT-EXP-03,Lịch sử xuất kho,"Tra cứu theo ngày, bộ phận, loại vật tư; tính tổng chi phí vật tư theo bộ phận/tháng",Export Excel,1,0.5,P2
"Vật tư & Thiết bị – 4. Tồn kho & Cảnh báo",VT-STK-01,Theo dõi tồn kho hiện tại,"Hiển thị tồn kho thực tế từng vật tư: số lượng, giá trị, vị trí kho",Cập nhật real-time sau mỗi phiếu nhập/xuất,1.5,0.5,P1
"Vật tư & Thiết bị – 4. Tồn kho & Cảnh báo",VT-STK-02,Cảnh báo tồn kho tối thiểu,Cấu hình mức tồn kho tối thiểu cho từng vật tư; gửi cảnh báo khi dưới mức,"Gửi email/thông báo cho thủ kho và quản lý mua hàng",1.5,0.5,P1
"Vật tư & Thiết bị – 4. Tồn kho & Cảnh báo",VT-STK-03,Kiểm kê kho định kỳ,"Tạo phiếu kiểm kê: nhập thực tế, so sánh với hệ thống, ghi nhận chênh lệch","Kiểm kê 1 lần/tháng; chênh lệch >5% phải giải trình",1.5,0.5,P2
"Vật tư & Thiết bị – 5. Bảo trì Thiết bị",VT-MNT-01,Lập lịch bảo trì định kỳ,"Cài đặt tần suất bảo trì cho từng TB (theo tháng/quý/năm hoặc số giờ vận hành)","Hệ thống tự tạo phiếu bảo trì trước ngày 5 ngày",1.5,0.5,P2
"Vật tư & Thiết bị – 5. Bảo trì Thiết bị",VT-MNT-02,Tạo và quản lý phiếu bảo trì / sửa chữa,"Phiếu ghi: mã TB, triệu chứng, người yêu cầu, KTV xử lý, chi phí phụ tùng, ngày hoàn thành","Trạng thái: Chờ xử lý / Đang xử lý / Hoàn thành / Không sửa được",2,1,P1
"Vật tư & Thiết bị – 5. Bảo trì Thiết bị",VT-MNT-03,Lịch sử bảo trì từng thiết bị,"Xem toàn bộ lịch sử bảo trì, sửa chữa; tính tổng chi phí bảo trì theo năm","Lọc theo năm; xuất PDF lịch sử cho từng TB",1,0.5,P2
"Vật tư & Thiết bị – 5. Bảo trì Thiết bị",VT-MNT-04,Quản lý tài sản hết khấu hao / thanh lý,Hiển thị TB đã hết khấu hao; lập biên bản thanh lý; cập nhật trạng thái,"Khấu hao theo đường thẳng; lưu lịch sử giá trị",1.5,0.5,P3
"Vật tư & Thiết bị – 6. Báo cáo",VT-RPT-01,Báo cáo tồn kho & nhập xuất theo tháng,"Tổng hợp nhập, xuất, tồn cuối tháng theo từng vật tư và bộ phận","Export Excel/PDF; chart xu hướng tiêu hao",1.5,0.5,P1
"Vật tư & Thiết bị – 6. Báo cáo",VT-RPT-02,Báo cáo chi phí vật tư theo bộ phận,Phân tích chi phí vật tư tiêu hao theo bộ phận và theo tháng/quý,"So sánh định mức vs thực tế; hiển thị % lệch",1.5,0.5,P2
"Vật tư & Thiết bị – 6. Báo cáo",VT-RPT-03,Báo cáo tình trạng thiết bị,Danh sách thiết bị theo tình trạng: hoạt động / bảo trì / hỏng / cần thanh lý,"Xuất Excel; lọc theo khu vực, loại TB",1,0.5,P2
"Vật tư & Thiết bị – 7. Mua sắm & Đấu thầu",VT-PRO-01,Lập kế hoạch mua sắm,"Phòng ban lập yêu cầu: loại vật tư/TB, số lượng, mục đích, thời hạn cần","Tổng giá trị >20 triệu: lấy 3 báo giá; >200 triệu: đấu thầu",1.5,0.5,P2
"Vật tư & Thiết bị – 7. Mua sắm & Đấu thầu",VT-PRO-02,Quản lý nhà cung cấp,"Lưu thông tin NCC: tên, MST, địa chỉ, điện thoại, danh mục cung cấp, đánh giá","NCC mới cần phê duyệt trước khi giao dịch; lưu hồ sơ pháp lý",1.5,0.5,P1
"Vật tư & Thiết bị – 7. Mua sắm & Đấu thầu",VT-PRO-03,Quản lý báo giá & so sánh NCC,Nhập báo giá từ nhiều NCC; bảng so sánh tự động; chọn NCC trúng,"Lưu báo giá PDF; quyết định chọn NCC cần chữ ký Trưởng phòng",2,0.5,P2
"Vật tư & Thiết bị – 7. Mua sắm & Đấu thầu",VT-PRO-04,Theo dõi đơn đặt hàng (PO),"Tạo PO, gửi NCC, theo dõi trạng thái giao hàng","PO số tự tăng; xác nhận nhận hàng mới tạo phiếu nhập kho",1.5,0.5,P2
"Vận hành – 1. Vận hành Buồng phòng",OP-ROOM-01,Quản lý trạng thái phòng real-time,"Sơ đồ phòng: Trống sạch / Đang có khách / Cần dọn / Bảo trì / Đặt trước","Cập nhật sau mỗi check-in/out; tablet NV buồng phòng đồng bộ",2,1,P1
"Vận hành – 1. Vận hành Buồng phòng",OP-ROOM-02,Phân công dọn phòng theo ca,Tổ trưởng phân phòng cho từng NV theo ca; ưu tiên phòng check-out,"Thời gian chuẩn: 30 phút/phòng đôi; 45 phút/suite; cảnh báo chậm",2,1,P1
"Vận hành – 1. Vận hành Buồng phòng",OP-ROOM-03,Kiểm tra phòng sau dọn (Housekeeping Inspection),"Giám sát đánh dấu: sạch/đạt/không đạt; chụp ảnh minh chứng","Không đạt: phân công dọn lại; ghi nhận vào KPI NV buồng phòng",1.5,0.5,P1
"Vận hành – 1. Vận hành Buồng phòng",OP-ROOM-04,Quản lý minibar & amenities,Kiểm kê minibar khi khách trả phòng; tính phí tiêu thụ tự động vào hóa đơn,"Đồng bộ với phiếu check-out; sản phẩm minibar quản lý qua kho VT",1.5,0.5,P2
"Vận hành – 1. Vận hành Buồng phòng",OP-ROOM-05,Yêu cầu dịch vụ phòng (In-room service),"Ghi nhận yêu cầu: thêm giường phụ, gối, đồ vệ sinh, thức ăn phòng","Xác nhận trong 10 phút; hoàn thành trong 30 phút; đo KPI tổ lễ tân",1.5,0.5,P2
"Vận hành – 1. Vận hành Buồng phòng",OP-ROOM-06,Báo cáo tình trạng buồng phòng theo ca,"Thống kê số phòng đã dọn, đang chờ, bảo trì; tổng kết cuối ca","Export Excel; gửi báo cáo cuối mỗi ca cho Trưởng ca",1,0.5,P2
"Vận hành – 2. F&B & Nhà hàng",OP-FNB-01,Quản lý bàn & khu vực nhà hàng,"Sơ đồ bàn: trống/đang dùng/đã đặt/đang dọn; cập nhật real-time","Cập nhật từ tablet nhân viên; sức chứa chuẩn theo từng khu",2,1,P1
"Vận hành – 2. F&B & Nhà hàng",OP-FNB-02,Ghi order tại bàn (POS),"Nhân viên ghi order: chọn món, số lượng, ghi chú dị ứng, gửi bếp in phiếu","In phiếu bếp tự động; cập nhật bill ngay; gộp order bổ sung",2,1,P1
"Vận hành – 2. F&B & Nhà hàng",OP-FNB-03,Quản lý yêu cầu đặc biệt & dị ứng,"Ghi nhận chế độ ăn: chay, Halal, dị ứng hải sản; hiển thị cảnh báo trên order bếp","Cảnh báo màu đỏ trên phiếu bếp; NV phục vụ xác nhận trước khi đưa món",1,0.5,P1
"Vận hành – 2. F&B & Nhà hàng",OP-FNB-04,Quản lý thực đơn & giá (CMS F&B),"Quản lý menu theo bữa và mùa; cập nhật giá; ẩn món hết nguyên liệu","Giá hiệu lực theo ngày; lưu lịch sử giá; món hết bếp ẩn tự động",2,0.5,P2
"Vận hành – 2. F&B & Nhà hàng",OP-FNB-05,Thanh toán tại nhà hàng,"In bill; chấp nhận: tiền mặt / thẻ / chuyển khoản / charge to room","Charge to room: khớp mã đặt phòng hợp lệ; hỗ trợ split bill theo người",1.5,0.5,P1
"Vận hành – 2. F&B & Nhà hàng",OP-FNB-06,Kiểm soát nguyên liệu (Food Cost),"Kết nối kho VT: xuất nguyên liệu theo recipe; so sánh thực tế vs recipe chuẩn","Food cost mục tiêu: 28-32% doanh thu F&B; cảnh báo lệch >5%",2,1,P2
"Vận hành – 2. F&B & Nhà hàng",OP-FNB-07,Báo cáo F&B ngày / tháng,"Doanh thu F&B, số suất ăn, bàn phục vụ, sản phẩm bán chạy, tỉ lệ food cost","Gửi báo cáo tự động 23:00 mỗi ngày; biểu đồ xu hướng tháng",1.5,0.5,P1
"Vận hành – 3. Check-in & Check-out",OP-CHK-01,Check-in khách,"Tìm đơn đặt phòng qua mã/SDT/QR; xác minh CCCD; giao thẻ từ; cập nhật trạng thái phòng","Walk-in: tạo booking tại chỗ; lưu ảnh chụp CCCD 2 phía",2,1,P1
"Vận hành – 3. Check-in & Check-out",OP-CHK-02,Check-out & thanh toán cuối,"Tổng hợp toàn bộ chi phí: phòng + minibar + dịch vụ; xuất hóa đơn tổng","Trả phòng chậm >12h tính phụ phí 50%; hỗ trợ split bill; đối soát thanh toán",2,1,P1
"Vận hành – 3. Check-in & Check-out",OP-CHK-03,Early check-in / Late check-out,Đặt yêu cầu ECI/LCO từ booking; phê duyệt theo tình trạng phòng và phụ phí,"ECI trước 12h: +50% giá phòng; LCO sau 18h: tính cả đêm",1,0.5,P2
"Vận hành – 3. Check-in & Check-out",OP-CHK-04,Walk-in booking (đặt tại chỗ),"Tiếp nhận khách không đặt trước: tạo booking, kiểm tra phòng trống, yêu cầu đặt cọc","Bắt buộc đặt cọc 100% giá phòng 1 đêm; ưu tiên phòng có sẵn",1.5,0.5,P1
"Vận hành – 3. Check-in & Check-out",OP-CHK-05,Quản lý thẻ từ & chìa khóa,"Theo dõi thẻ từ: đã giao/chưa giao/báo mất; lập biên bản mất; thu phí","Mất thẻ từ: 100.000 VND; mất chìa khóa phòng: 200.000 VND",1,0.5,P2
"Vận hành – 3. Check-in & Check-out",OP-CHK-06,Lịch sử lưu trú & CRM khách,"Tra cứu lịch sử lưu trú: ngày, phòng, tổng chi tiêu, đánh giá; nhận diện khách VIP","Khách lưu trú >5 lần: tự động gắn thẻ VIP; ưu đãi tự động áp dụng",1.5,0.5,P2
"Vận hành – 4. Yêu cầu & Phàn nàn Khách",OP-SVC-01,Tiếp nhận & phân công yêu cầu dịch vụ,"Ghi nhận yêu cầu: gọi điện/app/lễ tân; phân loại; phân công bộ phận xử lý","Phản hồi xác nhận trong 10 phút; hoàn thành trong 30 phút; đo KPI",1.5,0.5,P1
"Vận hành – 4. Yêu cầu & Phàn nàn Khách",OP-SVC-02,Xử lý khiếu nại & phàn nàn khách,"Ghi nhận khiếu nại, phân loại mức độ (1-3), phân công, theo dõi giải quyết","Cấp độ 2-3: báo Quản lý ngay; cấp độ 3: TGĐ xử lý; lưu log đầy đủ",2,1,P1
"Vận hành – 4. Yêu cầu & Phàn nàn Khách",OP-SVC-03,Báo cáo chất lượng dịch vụ & NPS,"Thống kê yêu cầu/khiếu nại theo bộ phận, loại, thời gian xử lý; NPS score","KPI: <5% khiếu nại/tổng lượt khách; xử lý trong ngày >90%",1.5,0.5,P2
"Vận hành – 4. Yêu cầu & Phàn nàn Khách",OP-SVC-04,Concierge & thông tin địa phương,"Cung cấp thông tin: ẩm thực địa phương, điểm tham quan Hà Tĩnh, phương tiện","Giao diện tra cứu nội bộ cho lễ tân; liên kết tour booking",1,0.5,P3
"Vận hành – 5. Vận hành Kỹ thuật",OP-TECH-01,Tiếp nhận sự cố kỹ thuật,"Ghi nhận báo hỏng từ NV/khách: vị trí, mô tả, mức độ khẩn; tạo phiếu sự cố","Khẩn cấp (điện, nước, thang máy): xử lý trong 15 phút",1.5,0.5,P1
"Vận hành – 5. Vận hành Kỹ thuật",OP-TECH-02,Điều phối & theo dõi kỹ thuật viên,Phân công KTV xử lý; cập nhật tiến độ qua app; xác nhận hoàn thành kèm ảnh,"KTV chụp ảnh trước/sau; thời gian xử lý ghi lại tự động",1.5,1,P1
"Vận hành – 5. Vận hành Kỹ thuật",OP-TECH-03,Lịch bảo dưỡng hệ thống định kỳ,"Kế hoạch bảo dưỡng: điện, nước, điều hòa, thang máy, hồ bơi, máy phát","Nhắc trước 7 ngày; phối hợp vận hành phòng; biên bản sau bảo dưỡng",1.5,0.5,P2
"Vận hành – 5. Vận hành Kỹ thuật",OP-TECH-04,Checklist kiểm tra kỹ thuật hàng ngày,"Danh mục kiểm tra: máy bơm, điện dự phòng, thiết bị PCCC, camera an ninh","Ký xác nhận điện tử; cảnh báo nếu checklist chưa hoàn thành trước 8h",1,0.5,P2
"Vận hành – 5. Vận hành Kỹ thuật",OP-TECH-05,Báo cáo kỹ thuật tháng,"Tổng hợp sự cố, thời gian xử lý trung bình, chi phí phụ tùng, tình trạng bảo dưỡng","Tỉ lệ giải quyết trong ngày >85%; chi phí vs ngân sách bảo trì",1,0.5,P2
"Vận hành – 6. An ninh & An toàn",OP-SEC-01,Nhật ký trực ca an ninh,"Ghi nhận sự kiện theo ca: người ra vào đặc biệt, sự cố, tuần tra định kỳ","Ca trực 24/7; giao ca có biên bản ký nhận; lưu log số hóa",1.5,0.5,P1
"Vận hành – 6. An ninh & An toàn",OP-SEC-02,Kiểm soát khách ra vào & phương tiện,"Ghi nhận khách vãng lai, đăng ký xe ngoài vào khuôn viên; kiểm tra thẻ vé","Xe ngoài: chụp biển số; lưu thời gian vào/ra; xuất báo cáo tháng",1.5,0.5,P1
"Vận hành – 6. An ninh & An toàn",OP-SEC-03,Báo cáo & xử lý sự cố an ninh,"Lập biên bản sự cố: trộm cắp, tai nạn, cháy nổ, vi phạm nội quy; phân cấp xử lý","Sự cố nghiêm trọng: báo TGĐ trong 15 phút + phối hợp cơ quan chức năng",1.5,0.5,P1
"Vận hành – 6. An ninh & An toàn",OP-SEC-04,Kiểm tra PCCC & HSE định kỳ,"Checklist PCCC hàng tuần: bình chữa cháy, sprinkler, báo cháy, lối thoát hiểm","Bình chữa cháy hết hạn: cảnh báo tự động 30 ngày trước; biên bản kiểm tra",1,0.5,P2
"Vận hành – 7. Báo cáo Vận hành",OP-RPT-01,Báo cáo vận hành ngày (Daily Report),"Tổng hợp: công suất phòng, khách lưu trú, doanh thu, sự cố mở, nhân sự ca","Gửi tự động 07:00 sáng hôm sau tới BLĐ qua email",2,1,P1
"Vận hành – 7. Báo cáo Vận hành",OP-RPT-02,Dashboard vận hành real-time,"KPI trực quan: phòng trống/đang có khách, khách đang lưu, yêu cầu chờ xử lý","Cập nhật mỗi 5 phút; màu xanh/vàng/đỏ theo ngưỡng KPI",2,1,P1
"Vận hành – 7. Báo cáo Vận hành",OP-RPT-03,Báo cáo công suất phòng tháng,"Occupancy rate, RevPAR, ADR; so sánh cùng kỳ năm trước và kế hoạch","RevPAR = ADR × Occupancy; chuẩn KPI khách sạn quốc tế",1.5,0.5,P1
"Vận hành – 7. Báo cáo Vận hành",OP-RPT-04,Báo cáo dịch vụ bổ sung theo tháng,"Thống kê doanh thu: spa, vui chơi, F&B ngoài phòng, sự kiện, CTV","Phân tích cơ cấu doanh thu; tỉ trọng từng dịch vụ; chart stack bar",1,0.5,P2
